,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
3494,f,Charlottenburg-Wilm.,52.48887,13.32096,Private room,2,1,1,30.0,5,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3495,f,Friedrichshain-Kreuzberg,52.5005,13.46467,Private room,2,1,1,55.0,2,1125,0,0,28,4,4.75,5.0,4.75,5.0,5.0,4.75,4.75,f,0.0,1.0
3496,f,Neukölln,52.48631,13.42428,Private room,2,1,1,37.0,2,1125,30,51,81,115,4.67,4.82,4.86,4.83,4.73,4.77,4.57,t,1.0,0.0
3497,t,Mitte,52.52483,13.40746,Entire home/apt,2,1,2,115.0,3,1125,0,0,0,152,4.79,4.89,4.68,4.94,4.96,4.93,4.64,f,0.0,1.0
3498,f,Friedrichshain-Kreuzberg,52.49852,13.42716,Private room,4,1,2,30.0,1,1125,0,0,0,6,4.4,3.8,3.6,4.8,5.0,4.4,4.25,f,0.0,1.0
3499,f,Charlottenburg-Wilm.,52.50941,13.31431,Private room,1,1,1,25.0,1,1125,0,0,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3500,f,Lichtenberg,52.48091,13.52377,Private room,2,1,1,35.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,2.0
3501,f,Neukölln,52.46483,13.4381,Private room,2,1,1,30.0,2,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3502,f,Mitte,52.52442,13.40467,Entire home/apt,4,1,2,40.0,60,1125,0,0,20,129,4.66,4.78,4.56,4.6,4.78,4.99,4.58,f,0.0,1.0
3503,f,Neukölln,52.41085,13.50482,Private room,2,1,1,35.0,3,1125,2,4,4,119,4.8,4.83,4.69,4.92,4.87,4.76,4.67,f,1.5,0.0
3504,f,Mitte,52.52303,13.33086,Private room,2,1,1,25.0,2,1125,0,0,0,4,4.25,4.75,3.75,4.75,5.0,4.25,4.25,f,0.0,1.0
3505,t,Pankow,52.53619,13.43358,Private room,2,1,1,44.0,5,60,0,0,0,148,4.8,4.87,4.73,4.9,4.9,4.81,4.79,f,1.0,0.0
