,index,actual_results,pred_results
78,4164.0,30.0,44.91103395445135
79,5617.0,56.0,118.79468541893543
80,14102.0,45.0,67.33733421297856
81,10801.0,50.0,35.28604761904763
82,15478.0,50.0,56.78981749056245
83,953.0,65.0,64.32804147090923
84,9515.0,25.0,38.84279989996952
85,14145.0,156.0,118.71737393162395
86,4223.0,70.0,70.04377475959258
87,12981.0,42.0,55.88234292212117
88,3721.0,60.0,66.47847626708669
89,12661.0,118.0,126.01088095238092
90,3617.0,50.0,66.18116523076114
91,3569.0,18.0,30.5890994772961
92,456.0,78.0,90.39876581871344
93,8932.0,17.0,27.753619047619043
94,15690.0,88.0,110.03529619736987
95,891.0,121.0,118.95534851237794
96,6472.0,144.0,132.32511904761904
97,1541.0,136.0,158.80866666666662
98,7103.0,15.0,28.032367056648365
99,5420.0,59.0,39.979814843558195
100,4887.0,53.0,84.61276942355893
101,11495.0,85.0,131.45176909430435
102,3176.0,40.0,61.71339101002214
103,14953.0,75.0,90.34475142239134
104,420.0,85.0,92.48510221907505
105,8828.0,85.0,78.46117580819187
106,15689.0,177.0,141.5614412606866
107,6773.0,28.0,43.06473849057559
108,335.0,35.0,47.142139918624636
109,2001.0,55.0,67.10007327656805
110,12008.0,41.0,64.92787682163357
111,8497.0,90.0,118.03029608733121
112,150.0,45.0,63.0123210287246
113,11036.0,85.0,105.03343346302545
114,3001.0,20.0,28.197265830460218
115,690.0,63.0,83.0887761904762
116,271.0,85.0,91.35119571262074
117,234.0,120.0,126.57284848484848
118,8263.0,25.0,31.591954904251203
119,9142.0,162.0,114.72615640096619
120,8807.0,23.0,38.528082963761904
121,13273.0,79.0,88.75153987532939
122,6991.0,38.0,49.30573840938284
123,4516.0,40.0,42.35466920917761
124,4330.0,35.0,37.61743148002669
125,12060.0,45.0,69.56387938416347
126,6637.0,55.0,50.53558847348338
127,15165.0,70.0,58.3514349439804
128,12560.0,130.0,90.42883335682725
129,3682.0,123.0,111.33614254385967
130,15551.0,68.0,77.70064707891268
131,1874.0,55.0,63.069254453392304
132,8929.0,22.0,48.71638661551576
133,6618.0,244.0,192.18183333333332
134,5575.0,30.0,44.71627695212847
135,3625.0,62.0,55.76072591314352
136,3821.0,243.0,152.2651944862155
137,5527.0,70.0,52.112527854805656
138,9415.0,65.0,73.86127114116192
139,2631.0,90.0,121.359546615825
140,14103.0,99.0,108.37629061624648
141,15338.0,70.0,107.18174692837312
142,8710.0,120.0,105.15675578092034
143,12690.0,45.0,62.75526270951272
144,4055.0,42.0,43.28025239647025
145,454.0,63.0,86.93904906204905
146,2429.0,59.0,61.75840159054733
147,12882.0,100.0,76.54254427037613
148,14324.0,166.0,123.57415994227989
149,8445.0,66.0,78.20310683760685
150,10646.0,15.0,25.976714625244032
151,11786.0,32.0,41.97546744272864
152,1037.0,87.0,86.78493132744669
153,152.0,76.0,96.29301414141418
154,8794.0,96.0,74.97758174603172
155,441.0,65.0,110.71196457607434
156,825.0,58.0,110.37381616541353
157,13783.0,63.0,74.36678880283169
158,14042.0,172.0,146.978097085543
159,9690.0,116.0,121.1874336401099
160,6279.0,230.0,101.95055452283712
161,12431.0,75.0,77.00142026798763
162,3779.0,36.0,41.163332096013434
163,11317.0,35.0,35.27279979923458
164,5996.0,111.0,96.33888882899073
165,3458.0,30.0,39.781043323596705
166,9223.0,85.0,67.06734585230197
167,2406.0,29.0,36.87634414185104
168,7503.0,55.0,71.56995379699246
169,6401.0,85.0,75.4195229455067
170,10751.0,145.0,128.08842261098076
171,10358.0,104.0,109.53290327309237
172,3483.0,19.0,37.28714574314575
173,15253.0,82.0,117.63244459477912
174,14771.0,60.0,81.82929677960928
175,8908.0,60.0,51.026272780963
176,6591.0,40.0,47.39273612172142
177,2534.0,20.0,38.64135081769333
178,4735.0,120.0,133.21352657868448
179,8699.0,161.0,79.1333712121212
180,8953.0,66.0,59.85882649974058
181,7469.0,30.0,34.452821037517694
182,7959.0,30.0,32.932831898699625
183,14474.0,188.0,136.5609113840555
184,868.0,100.0,95.1346658692185
185,12721.0,64.0,70.784880729234
186,11756.0,216.0,172.42483333333334
187,1095.0,35.0,31.75720086925305
188,6544.0,35.0,38.895904503456975
189,12569.0,40.0,98.98565158563508
190,14738.0,60.0,150.2723982683983
191,7184.0,38.0,56.771667293233065
192,11442.0,80.0,107.0529548905201
193,12296.0,230.0,178.3686862745097
194,11594.0,120.0,107.32965007945266
195,780.0,42.0,32.67873940726547
196,7415.0,42.0,70.8293177933178
197,14861.0,142.0,133.06824999999998
198,6893.0,25.0,31.23052155169354
199,9935.0,174.0,157.23539743589745
200,15206.0,75.0,67.69852038072185
201,8007.0,45.0,38.71078049891588
202,5122.0,35.0,68.67168033111861
203,965.0,25.0,34.845899908994994
204,9326.0,63.0,84.94692264957264
205,2361.0,27.0,36.03649444263882
206,4520.0,60.0,118.0794084940494
207,15401.0,62.0,108.21904938672435
208,6425.0,59.0,48.54244388781153
209,3568.0,55.0,78.89380882093012
210,1727.0,27.0,32.10016666666666
211,9100.0,90.0,59.29850479060943
212,3854.0,140.0,98.15087138399717
213,2646.0,37.0,59.20172082289057
214,12392.0,46.0,52.70144030365769
215,15455.0,210.0,187.2241706349206
216,8990.0,55.0,67.32803718432032
217,5242.0,44.0,80.80188309515634
218,331.0,99.0,28.768053574083112
219,13431.0,120.0,120.6798556998557
220,8519.0,171.0,121.1397215840081
221,4536.0,60.0,77.20093182858606
222,2614.0,27.0,31.542445661449097
223,9350.0,29.0,39.42567119578493
224,2615.0,60.0,70.14045434124063
225,4197.0,37.0,54.940100512736635
226,10097.0,26.43,45.12785372236459
227,14135.0,133.0,103.28290937740181
228,14330.0,90.0,124.07996954378956
229,4130.0,89.0,102.2852159765355
230,13379.0,110.0,74.88305968592827
231,10740.0,101.0,105.00809523809527
232,10743.0,75.0,73.76070096812344
233,13154.0,118.0,99.1155736697513
234,12857.0,79.0,97.59770977011493
235,7312.0,40.0,40.58245191819013
236,13958.0,111.0,113.97896336523127
237,4508.0,87.0,54.61292156190474
238,6171.0,64.0,56.82111195438708
239,10344.0,120.0,63.21253361010255
240,4521.0,44.0,72.31428571428575
241,5497.0,50.0,59.64464519802397
242,4939.0,249.0,153.94065979189898
243,7332.0,45.0,38.70589888893476
244,11415.0,85.0,66.52488873953854
245,12405.0,99.0,135.30756179199028
246,13937.0,100.0,106.01733984031475
247,12159.0,33.0,30.809229720860376
248,10924.0,150.0,119.64496373200447
249,14623.0,82.0,91.44723652771077
250,14898.0,125.0,127.19118145545742
251,8973.0,30.0,35.444476851851846
252,6012.0,16.0,28.685014672206634
253,6988.0,50.0,42.784997622087666
254,6328.0,17.0,35.23101792552615
255,14803.0,40.0,30.47944462940714
256,7098.0,20.0,36.42267674216026
257,14538.0,145.0,135.88262423687422
258,787.0,86.0,64.40622222222221
259,10759.0,120.0,69.72367992400615
260,6655.0,136.0,94.94878968253971
261,5846.0,185.0,101.31107225552226
262,2397.0,25.0,40.66969612224165
263,1756.0,23.0,30.090531733278134
264,79.0,49.0,33.2936918840197
265,10061.0,100.0,103.52191113023524
266,13757.0,169.0,159.04062293099057
267,5725.0,80.0,86.97700793650797
268,6077.0,75.0,67.64900119298291
269,9141.0,79.0,40.54219577995508
270,14789.0,120.0,104.10608082752547
271,702.0,136.0,104.79265970871235
272,670.0,92.0,69.74326588878887
273,885.0,137.0,141.16811562049062
274,4670.0,118.0,115.64093939340825
275,7363.0,37.0,68.85999651641337
276,13971.0,152.0,93.55365904344195
277,7460.0,42.0,59.39470309738571
278,3409.0,45.0,34.57293511841693
279,8939.0,80.0,71.40206982033469
280,3005.0,35.0,36.44045263922755
281,14710.0,123.0,124.5821324867968
282,1525.0,47.0,52.45648126107608
283,15647.0,88.0,93.78247751671422
284,15263.0,120.0,88.33931220011696
285,12502.0,100.0,57.016145758132524
286,10585.0,38.0,44.74365903540904
287,11754.0,43.0,45.898471857410875
288,6534.0,45.0,35.093658097019755
289,11607.0,126.0,113.3035432900433
290,176.0,65.0,82.02165476190474
291,494.0,148.0,97.63182860230282
292,1333.0,45.0,40.90401594107122
293,6628.0,55.0,38.97147921671825
294,9767.0,90.0,75.51791196802003
295,3113.0,25.0,40.417465158944545
296,9219.0,75.0,47.29816488891354
297,3841.0,121.0,103.97290692640698
298,12016.0,65.0,74.6240329799569
299,5638.0,155.0,163.94538895162813
300,14115.0,97.0,51.55916560131364
301,12063.0,227.0,150.27831457431458
302,1344.0,60.0,75.9750476190476
303,11866.0,146.0,108.34829166666667
304,14165.0,140.0,78.39573274801666
305,9379.0,140.0,95.35366257179874
306,14674.0,127.0,88.41929816017314
307,9872.0,60.0,69.59850384732668
308,9676.0,60.0,43.37628383595697
309,7133.0,69.0,59.49039737470269
310,3279.0,120.0,107.4066049751719
311,5395.0,37.0,58.359124071665626
312,1562.0,85.0,91.33035873449523
313,2213.0,16.0,30.608603803263854
314,5081.0,43.0,58.68022390181065
315,9083.0,25.0,35.50159474159645
316,5745.0,149.0,156.34894517048733
317,3436.0,45.0,52.11266221234906
318,3743.0,76.0,64.38842396530363
319,1524.0,49.0,50.2950264110536
320,6337.0,28.0,65.76946682582916
321,1033.0,29.0,66.16207172454222
322,13216.0,41.0,53.314213400236106
323,4775.0,42.0,46.175684891741156
324,4798.0,35.0,33.17633483277225
325,8609.0,109.0,113.50800438693886
326,10524.0,204.0,160.2045382395382
327,1494.0,50.0,70.59870148063563
328,2662.0,60.0,69.15855728259565
329,12975.0,44.0,86.42546210944025
330,10887.0,110.0,87.68294934193774
331,278.0,121.0,78.32381633114193
332,7171.0,90.0,61.12959241826834
333,10549.0,40.0,37.042568886365004
334,11073.0,15.0,23.723724630457465
335,2231.0,60.0,61.75736784124986
336,11491.0,95.0,135.08410370642426
337,12875.0,71.0,47.37550463125463
338,7213.0,73.0,67.7527780358259
339,400.0,99.0,124.7899270990447
340,7863.0,65.0,58.21199420677362
341,11441.0,40.0,35.8112521516874
342,6837.0,25.0,31.057126715682926
343,4290.0,19.0,30.549391583362173
344,11695.0,42.0,54.464270807136224
345,5208.0,25.0,49.154873026919795
346,2369.0,50.0,35.54305718167146
347,13578.0,79.0,78.07486307437738
348,4050.0,60.0,94.36369605666665
349,3440.0,90.0,131.7003333333334
350,9310.0,80.0,87.17798654244307
351,1638.0,35.0,32.219673517968936
352,8580.0,25.0,33.1846003918616
353,14329.0,90.0,112.08332449707157
354,9471.0,81.0,68.67409629152472
355,3754.0,20.0,33.592700772301725
356,6572.0,35.0,60.140553134050414
357,5498.0,69.0,119.9876073675827
358,50.0,120.0,150.31933333333333
359,2992.0,34.0,44.0430073766321
360,5639.0,39.0,34.53717171703951
361,6145.0,45.0,41.2915989832823
362,12202.0,40.0,41.950971096254506
363,11076.0,29.0,38.10616127447727
364,9818.0,107.0,80.11078030303031
365,5343.0,66.0,69.30131041114797
366,10966.0,88.0,83.64368582112331
367,13425.0,76.0,86.84715895800107
368,412.0,53.0,97.1688252352223
369,13739.0,182.0,136.83070233250763
370,13989.0,122.0,123.83916100464579
371,10906.0,20.0,39.48463228908959
372,14079.0,233.0,118.55433668524458
373,11179.0,112.0,56.05728331890425
374,13991.0,79.0,85.81832025716461
375,909.0,30.0,39.53448407206874
376,5690.0,67.0,85.32322939485799
377,91.0,80.0,120.7145393374741
378,8872.0,35.0,56.78628741782799
379,12823.0,128.0,87.70608
380,2513.0,33.0,28.18241819701026
381,12308.0,30.0,41.87400316129023
382,554.0,58.0,83.47773989898988
383,2538.0,50.0,42.38792925875294
384,1046.0,60.0,76.33736445067984
385,13894.0,110.0,73.2232861111111
386,2260.0,45.0,33.71765294110712
387,5597.0,75.0,66.47323422827829
388,14644.0,75.0,80.58593253968256
389,10116.0,100.0,107.71970916481892
390,2312.0,80.0,61.25480281323008
391,10193.0,199.0,92.59268516113514
392,14465.0,125.0,87.14684425088676
393,14967.0,100.0,120.65334671374225
394,2545.0,115.0,123.66285387488325
395,12668.0,143.0,102.38045482295485
396,8584.0,30.0,34.5751938785348
397,1850.0,30.0,35.07584179139176
398,7956.0,38.0,44.39750915750915
399,7665.0,84.0,71.45136903606638
400,13923.0,161.0,106.01733984031475
401,5042.0,81.0,43.7799127953588
402,2714.0,13.0,31.11108146088132
403,12013.0,50.0,40.34208825431334
404,3345.0,65.0,59.74644872043498
405,3911.0,17.0,30.75354113679113
406,5853.0,39.0,39.13647050823897
407,2083.0,125.0,61.30044326017222
408,5022.0,30.0,45.68489410852531
409,5720.0,70.0,70.66339744936437
410,14779.0,102.0,148.0793311819759
411,14990.0,72.0,78.10697690545011
412,4163.0,21.0,36.62444724780988
413,954.0,27.0,33.36646467885399
414,12152.0,69.0,126.81195373376625
415,11550.0,35.0,58.82875276367089
416,8770.0,25.0,37.95638392496957
417,13546.0,68.0,86.39578823953822
418,13125.0,120.0,109.32836111111112
419,12917.0,55.0,63.20098573174612
420,923.0,19.0,38.35196793221793
421,12169.0,90.0,129.39743681318683
422,7396.0,25.0,32.0711681096681
423,3891.0,210.0,117.83973341128909
424,551.0,71.0,70.3695277533978
425,10087.0,51.0,47.93821860089604
426,11490.0,73.0,98.58430718954253
427,11973.0,60.0,76.51638964017283
428,7707.0,57.0,81.13282983682984
429,13167.0,79.0,60.10595006192978
430,1454.0,50.0,40.79377999345956
431,12022.0,25.0,35.43266121770919
432,9525.0,42.0,38.7311143876574
433,8428.0,74.0,76.62564152643951
434,2109.0,75.0,108.18856314699794
435,1641.0,68.0,55.994062471880696
436,12285.0,81.0,79.35250941188441
437,7990.0,109.0,116.24948809523812
438,7756.0,38.0,48.79520695970696
439,10191.0,50.0,48.26832540152883
440,13864.0,100.0,93.07842808156752
441,8982.0,28.0,37.44495526603217
442,9688.0,27.0,32.731704085367895
443,492.0,60.0,61.863201054808336
444,6142.0,78.0,87.59823539231385
445,14752.0,120.0,101.72057327259134
446,10667.0,65.0,62.834587383353956
447,12719.0,55.0,51.70145350489633
448,10205.0,87.0,75.23475151515153
449,4200.0,30.0,35.2385091662606
450,2907.0,35.0,41.77928395992142
451,6469.0,100.0,107.80386530638192
